,CUSTOMER_ID,RECENCY,FIRST_PURCHASE,FREQUENCY,MONETARY
369,Cust369,409,596,15,14
370,Cust370,5,580,16,58.75
371,Cust371,449,449,1,10
372,Cust372,2,107,12,45
373,Cust373,3,100,37,10.54054054
374,Cust374,0,106,156,11.6025641
375,Cust375,595,629,12,14.16666667
376,Cust376,117,624,30,211.3333333
377,Cust377,5,100,14,10
378,Cust378,8,109,7,21.42857143
379,Cust379,91,107,13,15.38461538
380,Cust380,303,438,6,10
381,Cust381,586,586,1,20
382,Cust382,94,108,3,10
383,Cust383,39,110,6,11.66666667
384,Cust384,1,105,33,10.60606061
385,Cust385,1,107,112,17.23214286
386,Cust386,1,106,74,10.94594595
387,Cust387,2,107,63,15.55555556
388,Cust388,8,110,21,10.95238095
389,Cust389,489,554,25,10.8
390,Cust390,7,624,85,99.64705882
391,Cust391,11,106,35,14.28571429
392,Cust392,245,559,7,32.85714286
393,Cust393,5,279,78,10.25641026
394,Cust394,469,469,1,10
395,Cust395,584,591,2,20
396,Cust396,58,615,10,48
397,Cust397,26,293,2,100
398,Cust398,370,474,3,266.6666667
399,Cust399,0,107,65,11.23076923
400,Cust400,0,107,15,12
401,Cust401,14,106,11,18.18181818
402,Cust402,20,86,11,92.72727273
403,Cust403,596,596,1,20
404,Cust404,1,18,25,10
405,Cust405,5,629,27,17.77777778
406,Cust406,110,110,1,100
407,Cust407,1,626,62,50.48387097
408,Cust408,2,577,19,15.78947368
409,Cust409,430,440,4,125
410,Cust410,54,497,14,15.71428571
411,Cust411,1,608,61,126.2295082
412,Cust412,578,629,6,18.33333333
413,Cust413,529,566,2,60
414,Cust414,372,608,16,11.875
415,Cust415,21,111,23,18.69565217
416,Cust416,13,111,7,10
417,Cust417,610,611,2,350
418,Cust418,70,629,18,10.55555556
419,Cust419,28,626,43,16.51162791
420,Cust420,109,110,2,10
421,Cust421,328,597,22,26.81818182
422,Cust422,100,110,5,10
423,Cust423,0,110,25,11.6
424,Cust424,1,107,41,23.41463415
425,Cust425,19,111,40,11.5
426,Cust426,11,615,71,125.6338028
427,Cust427,1,112,46,10.2173913
428,Cust428,12,112,7,18.57142857
429,Cust429,3,112,41,10.73170732
430,Cust430,10,107,19,12.10526316
431,Cust431,255,566,12,95.83333333
432,Cust432,235,346,3,16.66666667
433,Cust433,397,498,7,41.42857143
434,Cust434,0,110,41,15.12195122
435,Cust435,0,85,65,18.61538462
436,Cust436,0,625,371,16.36118598
437,Cust437,16,108,14,16.42857143
438,Cust438,11,111,41,11.95121951
439,Cust439,3,111,27,12.22222222
440,Cust440,504,562,5,66
441,Cust441,4,611,20,795
442,Cust442,5,106,39,17.17948718
443,Cust443,5,106,54,15.18518519
444,Cust444,19,22,3,10
445,Cust445,2,111,24,13.75
446,Cust446,340,340,1,200
447,Cust447,10,625,31,409.6774194
448,Cust448,77,112,4,15
449,Cust449,26,26,1,300
450,Cust450,42,111,4,600
451,Cust451,2,96,45,13.11111111
452,Cust452,1,111,102,18.33333333
453,Cust453,3,112,9,26.66666667
454,Cust454,35,113,5,52
455,Cust455,6,111,12,13.33333333
456,Cust456,51,112,37,27.02702703
457,Cust457,0,112,67,11.19402985
458,Cust458,73,73,1,50
459,Cust459,107,112,5,10
460,Cust460,207,211,3,13.33333333
461,Cust461,15,113,9,260
462,Cust462,25,623,59,60.33898305
463,Cust463,0,87,22,10.45454545
464,Cust464,8,112,37,15.94594595
465,Cust465,77,109,9,10
466,Cust466,40,105,9,125.5555556
467,Cust467,589,618,8,15
468,Cust468,19,111,11,13.63636364
469,Cust469,1,105,65,12.30769231
470,Cust470,1,68,27,12.96296296
471,Cust471,2,114,44,10
472,Cust472,365,615,11,31.81818182
473,Cust473,2,113,52,17.69230769
474,Cust474,1,110,47,11.06382979
475,Cust475,0,111,59,14.23728814
476,Cust476,6,113,23,79.13043478
477,Cust477,20,113,5,28
478,Cust478,80,113,6,10
479,Cust479,4,112,30,13.66666667
480,Cust480,54,103,10,11
481,Cust481,3,86,19,11.05263158
482,Cust482,444,521,9,127.7777778
483,Cust483,96,99,3,13.33333333
484,Cust484,2,95,65,16
485,Cust485,1,91,17,12.94117647
486,Cust486,2,98,54,15.74074074
487,Cust487,51,94,44,16.59090909
488,Cust488,64,91,3,10
489,Cust489,58,98,4,12.5
490,Cust490,615,623,2,20
491,Cust491,1,104,80,14.5
492,Cust492,211,569,6,75
493,Cust493,136,541,4,67.5
494,Cust494,3,591,4,10
495,Cust495,315,622,9,155.5555556
496,Cust496,1,554,9,40
497,Cust497,2,623,33,465.1515152
498,Cust498,299,609,13,353.8461538
499,Cust499,274,627,110,13.72727273
500,Cust500,7,627,29,579.3103448
